year,"last_name, first_name",pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2021,"Pérez, Cionel",672335,Reds,CIN,L,96,292,454,2.802469135802469,0.6431718061674009,FF,4-Seam Fastball,14.3,-14.6,0.3,2,4.4,-8.2,-3.7,-46,,
2021,"Banda, Anthony",607455,Pirates,PIT,L,94.1,292,610,3.765432098765432,0.4786885245901639,FF,4-Seam Fastball,15.2,-14.9,-0.4,-2,11.3,-7.4,3.8,51,0.4491725768321513,0.8794326241134752
2021,"Velasquez, Vince",592826,Padres,SD,R,82,291,1750,10.802469135802468,0.1662857142857143,CU,Curveball,51.7,-50.3,1.4,3,5.8,8.3,-2.5,-30,0.568,0.212
2021,"Cueto, Johnny",456501,Giants,SF,R,91.6,291,1878,11.592592592592593,0.15495207667731628,SI,Sinker,22.9,-24.4,-1.5,-6,16.8,-14.9,1.9,13,0.31275720164609055,0.8600823045267489
2021,"Mears, Nick",683232,Pirates,PIT,R,95.6,290,452,2.7901234567901234,0.6415929203539823,FF,4-Seam Fastball,10.9,-13.7,2.8,20,3.8,-7.4,-3.6,-48,,
2021,"Canning, Griffin",656288,Angels,LAA,R,88.2,290,1080,6.666666666666667,0.26851851851851855,SL,Slider,35.3,-32.4,2.9,9,1.5,3.4,-4.9,-145,0.7959183673469388,0.032069971
2021,"Megill, Tylor",656731,Mets,NYM,R,85.7,290,1554,9.592592592592593,0.1866151866151866,SL,Slider,34.1,-35.2,-1.1,-3,2.3,5.1,-2.7,-54,0.3469387755102041,0.1924198250728863
2021,"Fried, Max",608331,Braves,ATL,L,93.5,290,2558,15.888198757763975,0.11336982017200939,SI,Sinker,20.8,-20.9,-0.1,0,10.6,-14.6,-4.1,-28,0.5267489711934157,0.037037037037037035
2021,"Keller, Kyle",664918,Pirates,PIT,R,81.4,290,654,4.037037037037037,0.4434250764525994,CU,Curveball,46.9,-51.6,-4.7,-9,7.1,7.8,-0.7,-9,0.124,0.42
2021,"Andriese, Matt",542882,Mariners,SEA,R,86,290,855,5.277777777777778,0.3391812865497076,CH,Changeup,35.4,-30.3,5.2,17,4.1,-14.2,-10.1,-71,0.9480968858131488,0
2021,"Baragar, Caleb",670056,Giants,SF,L,92.8,290,358,2.2098765432098766,0.8100558659217877,FF,4-Seam Fastball,11.7,-15.2,3.5,23,8.6,-7,1.6,22,,
2021,"Barnes, Charlie",656212,Twins,MIN,L,89.8,289,655,4.043209877,0.44122137404580153,SI,Sinker,24.9,-26.7,-1.8,-7,13.8,-14.9,-1.1,-7,0.25925925925925924,0.2551440329218107
2021,"Wainwright, Adam",425794,Cardinals,STL,R,89,289,3068,18.938271604938272,0.094198175,FF,4-Seam Fastball,19.7,-17.2,-2.5,-14,1.9,-6.1,-4.2,-68,0.10874704491725769,0.080378251
2021,"Gomber, Austin",596295,Rockies,COL,L,75.7,289,1851,11.496894409937887,0.15613182063749326,CU,Curveball,64.7,-60.6,4.1,7,5.5,8.8,-3.3,-37,0.832,0.148
2021,"Lange, Alex",656638,Tigers,DET,R,96.4,289,639,3.9444444444444446,0.4522691705790297,FF,4-Seam Fastball,13.7,-13.4,-0.3,-2,10.5,-7.5,3,39,0.4728132387706856,0.8132387706855791
2021,"Stammen, Craig",489334,Padres,SD,R,89.1,289,1308,8.074074074074074,0.2209480122324159,FC,Cutter,24.5,-26.5,1.9,7,0.4,2.4,-2,-82,0.7692307692307693,0.2153846153846154
2021,"Watson, Tony",453265,Giants,SF,L,85.9,288,866,5.345679012345679,0.3325635103926097,CH,Changeup,30.3,-33.2,-2.9,-9,19.9,-15.3,4.6,30,0.19377162629757785,0.9965397923875432
2021,"Pineda, Michael",501381,Twins,MIN,R,85.5,288,1707,10.537037037037036,0.1687170474516696,CH,Changeup,29.3,-28.4,0.9,3,16.1,-13.2,2.9,22,0.6505190311418685,0.9100346020761245
2021,"Hoffman, Jeff",656546,Reds,CIN,R,82,287,1360,8.395061728395062,0.21102941176470588,SL,Slider,44.4,-40.1,4.2,11,6.2,6,0.2,3,0.8862973760932945,0.5597667638483965
2021,"Díaz, Yennsy",660546,Mets,NYM,R,95.4,287,447,2.759259259259259,0.6420581655480985,FF,4-Seam Fastball,15.7,-15,-0.7,-5,8.1,-8.3,-0.2,-3,,
2021,"Head, Louis",545343,Rays,TB,R,93.7,286,546,3.3703703703703702,0.5238095238095238,FF,4-Seam Fastball,14.4,-16.2,1.8,11,6,-8.8,-2.8,-32,0.8794326241134752,0.17966903073286053
2021,"Rodríguez, Joely",570257,Yankees,NYY,L,88.4,286,775,4.783950617283951,0.3690322580645161,CH,Changeup,34.8,-29.7,5.1,17,11.2,-14.7,-3.5,-24,0.9446366782006921,0.055363322
2021,"Boyd, Matthew",571510,Tigers,DET,L,79.9,286,1273,7.8580246913580245,0.2246661429693637,CH,Changeup,37,-34.8,2.1,6,16.2,-13.7,2.5,18,0.7474048442906575,0.8615916955017301
2021,"Boyd, Matthew",571510,Tigers,DET,L,80.4,285,1273,7.8580246913580245,0.22388059701492538,SL,Slider,44.1,-41.9,2.3,5,3.3,8.8,-5.5,-63,0.7259475218658892,0.011661807580174927
2021,"Zimmermann, Bruce",669145,Orioles,BAL,L,84.4,285,1105,6.820987654320987,0.2579185520361991,CH,Changeup,28.2,-30.4,-2.1,-7,16.4,-13.7,2.7,20,0.2768166089965398,0.8823529411764706
2021,"Jiménez, Joe",641729,Tigers,DET,R,84.5,285,866,5.345679012345679,0.32909930715935337,SL,Slider,36.4,-36.7,-0.3,-1,3.9,5.3,-1.4,-26,0.44314868804664725,0.36443148688046645
2021,"Matzek, Tyler",554431,Braves,ATL,L,84.7,285,1065,6.614906832298137,0.2676056338028169,SL,Slider,44.7,-36.4,8.3,23,6.6,4.9,1.7,35,0.9970845481049563,0.7434402332361516
2021,"Gil, Luis",661563,Yankees,NYY,R,96.1,284,532,3.2839506172839505,0.5338345864661654,FF,4-Seam Fastball,11.9,-13.6,1.7,12,4.5,-7.8,-3.3,-42,0.8676122931442081,0.15602836879432624
2021,"Richards, Garrett",572070,Red Sox,BOS,R,78.3,284,2331,14.38888888888889,0.12183612183612183,CU,Curveball,65,-55.2,9.9,18,11,8.7,2.3,27,0.992,0.752
2021,"Maton, Phil",664208,Astros,HOU,R,76,284,1174,7.246913580246914,0.24190800681431004,CU,Curveball,57.6,-55.4,2.2,4,19,12.9,6.1,47,0.66,0.96
2021,"Blackburn, Paul",621112,Athletics,OAK,R,91.1,283,681,4.203703703703703,0.4155653450807636,SI,Sinker,21.9,-22.9,-1.1,-5,12.5,-14.6,-2.1,-15,0.37448559670781895,0.13991769547325103
2021,"Foltynewicz, Mike",592314,Rangers,TEX,R,85.3,283,2236,13.802469135802468,0.12656529516994633,CH,Changeup,25.8,-30.3,-4.6,-15,14,-13.9,0.1,1,0.07266436,0.4844290657439446
2021,"Hernández, Elieser",622694,Marlins,MIA,R,79.3,282,818,5.049382716049383,0.34474327628361856,SL,Slider,33.2,-43.2,-10,-23,10.9,9.7,1.2,12,0,0.6938775510204082
2021,"Holland, Derek",502706,Tigers,DET,L,81.4,282,835,5.154320987654321,0.3377245508982036,CU,Curveball,37.7,-51.4,-13.7,-27,0.2,7.9,-8.1,-102,0,0.008
2021,"García, Yimi",554340,Astros,HOU,R,90.4,281,943,5.820987654320987,0.2979851537645811,SL,Slider,27.5,-29.8,-2.4,-8,3.6,3.3,0.3,9,0.22157434402332363,0.577259475
2021,"Neidert, Nick",663734,Marlins,MIA,R,91.7,281,598,3.691358024691358,0.4698996655518395,FF,4-Seam Fastball,20.6,-16,-4.5,-28,14,-7.3,6.7,92,0.030732860520094562,0.9905437352245863
2021,"Bummer, Aaron",607481,White Sox,CWS,L,83,281,962,5.938271604938271,0.2920997920997921,ST,Sweeper,45.1,-40.3,4.8,12,17.9,14,3.9,28,0.8888888888888888,1
